	Question
3036	if a pseudo random number generator plays against a true random number generator in rock, paper, scissors for an infinite number of rounds, would one side have a slight edge over the other?
3037	can simple invertebrates like snails feel pain? how can we know for sure either way?
3038	do sea creatures (dolphins, fish, whales) see as well outside water as in it?
3039	can two fertile human adults be incapable of having a child together?
3040	if we do learn new subject,and concentrate hard. we get mentally tired. what is the neuro-chemical/biological reason behind it?
3041	is there a specific depth below earth's surface where life ceases to exist?
3042	why are the blades on wind turbines so long?
3043	why do the continents of the earth seem to be tapering downwards (top is fatter, bottom is thinner)?
3044	how do caterpillars maintain basic bodily functions as they transform to butterflies within the chrysalis?
3045	the hurricane that struck the philippines was a "maximum" category 5. is there really an upper limit to how strong a storm can be?
3046	with many devices today using lithium to power them, how much li is left in the earth?
3047	why do marshmallows expand in volume when in a microwave but not when heated over a campfire?
3048	we are all familiar with the original hydrogen, and now the helium filled blimps. why can't we simply vacuum all the air out completely, and have a blimp that floated because of the void in it?
3049	in light of the miami face eating story i started to wonder... is there any scientific possibility of a virus mimicking a zombie apocalypse style virus?
3050	the second law of thermodynamics seems to clash with the stefan-boltzman law in the following example. how can they be reconciled?
3051	why exactly is 1 = √1 = √(-1)(-1) = √(-1) √(-1) = i² = -1 impossible?
3052	how is an antenna able to receive and transmit data? and how is the antenna able to convert that data to something the radio can read?
3053	what is it about protons that causes the elements to be so different?
3054	why are marine mammals able to keep their eyes open under water without the salt burning their eyes?
3055	is the earth attracted to the location of the sun now or the location it was 8 minutes ago?
3056	how does adrenaline make your muscles stronger?
3057	is the gravitational constant "constant" as the universe ages and expands?
3058	why are asian and african elephants different genera, as opposed to different species in the same genus?
3059	how long will two 12v batteries heat a small room for?
3060	homo sapiens of 300.000 years old or biblical 6000 years of manhood: carbon dating?
3061	in video games, ragdolls and other physics are calculated client side. if all the physics follow the same respective formula for each player, shouldn't the same physics results happen for all players?
3062	my five year old asked me what if anything can destroy a black hole? help?
3063	why is it when i set my thermostat to 65°-70° during the winter it feels warm? yet, when i turn my central air onto 65°-70° during the summer it feels very cold?
